,perturbation,E2F_target_genes,DNA_damage_response,MAPK_pathway,PI3K_AKT_pathway,n_genes,KO_MYC,KO_TP53,HIGH_CDKN1A,KO_BRCA1,KO_KRAS,KO_PTEN,_scvi_batch,_scvi_labels,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31
16,TP53,0.628887235794179,0.12412204750358,0.628116371497216,0.1133037605044294,313.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MYC,0.1945236872110262,0.2938690566299542,0.4998564492854801,0.3808587048607337,309.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MYC,0.902649494343988,0.8374124896590192,0.3032755617913576,0.8200966454640224,310.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MYC,0.6678611560276635,0.5509661842779437,0.2466755592646684,0.102286013824104,324.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PTEN,0.7025890362720236,0.8231649757298263,0.2348577280362166,0.2360704782829839,310.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,TP53,0.5926358412329001,0.8999681937916341,0.1250654341793809,0.1149247912158347,331.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,TP53,0.7200996905116972,0.2429109977529804,0.5865178712708895,0.8966938405178652,315.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,BRCA1,0.4797501949241189,0.0956433659063267,0.6335536705206802,0.3911278028272071,302.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,non-targeting,0.1782520977052762,0.3612484404804664,0.4886222382086832,0.1970025915404016,314.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,KRAS,0.6233863488938489,0.0803383480470347,0.3585162605982094,0.2928189453263379,297.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,TP53,0.0747991878757132,0.0941122522506062,0.8636475791390928,0.0631446696140463,322.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,TP53,0.2156565879209272,0.4286367081915347,0.5368606235078377,0.3371248613311728,310.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,BRCA1,0.6856696682740785,0.0221726599756797,0.4633608998494208,0.1346100627444199,279.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,non-targeting,0.5909223331351608,0.8172542458020289,0.9814277513832294,0.9810325201512358,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,MYC,0.4299566588449631,0.2599765472976465,0.6186133865548709,0.4058785455134126,316.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,TP53,0.0931987527692899,0.6597652319994697,0.8036907900999191,0.0715780387513581,312.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,BRCA1,0.5549762803429762,0.2438775218278707,0.9332030563387548,0.4649602398369178,333.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,non-targeting,0.4580349234557965,0.9668725937801516,0.471436416284192,0.9672489469835224,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,BRCA1,0.3338284557315796,0.1723280273246799,0.5938205141517986,0.2562275669741364,326.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,non-targeting,0.5765434614922791,0.7698983394903864,0.2354719650316661,0.2665568063019653,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MYC,0.995266722648686,0.0506855884731163,0.3424860302191409,0.8532719038817238,311.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,KRAS,0.7752403344552433,0.0359189284594064,0.1630658674172563,0.9137512655619664,326.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,TP53,0.0822546083279328,0.187348164264575,0.116826261556149,0.565805540288958,328.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,non-targeting,0.0020227421281379,0.7522777499743364,0.8108306065627837,0.0216609466298328,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,MYC,0.917879959510188,0.9903603250371772,0.1686078216317711,0.0031294857395599,332.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,TP53,0.6736566298520417,0.5357463250876828,0.0054608257519973,0.7712992461022299,329.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,non-targeting,0.4035279477410495,0.5811482268733316,0.2530099974480997,0.2066088213401952,289.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PTEN,0.1805192776813408,0.1436172466721434,0.5049640385199101,0.1136082671079528,320.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PTEN,0.3388721258182198,0.8423105581988212,0.7180450706414192,0.8652638956942172,331.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,MYC,0.8880502502250521,0.3468587327000828,0.996943281430826,0.033402314743532,323.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,MYC,0.132559610029942,0.2398074768080098,0.4950987712298781,0.7126433943304666,309.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,KRAS,0.0839579423534999,0.8782289903534167,0.1983934812229886,0.5122834414971651,312.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,TP53,0.2561074747083985,0.7558536228197698,0.332981587727037,0.1117011465765674,311.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,non-targeting,0.8048757478013289,0.6437202534503861,0.8718863527493625,0.748708297089351,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,TP53,0.9347329871246328,0.0473948973221269,0.0252360131941506,0.8510300372007343,314.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PTEN,0.7844351457716069,0.1831922461764954,0.7118403265035205,0.7321823513486199,325.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,BRCA1,0.0084827883656184,0.7743485831155591,0.0983104735728784,0.4489169813100691,318.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,non-targeting,0.1010170883444484,0.3952284742070991,0.1729368084396965,0.4656629400452242,326.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PTEN,0.7745548832384854,0.2015779214030284,0.0470608411127893,0.9006015960913497,318.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,non-targeting,0.47345712030639,0.8757878722175786,0.4671690135744654,0.2143470616084644,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,MYC,0.5893321754883384,0.281564843596082,0.881042841667819,0.9513568821842509,322.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,MYC,0.0815535824192656,0.9796751961206428,0.1495019455965281,0.8568310403405659,316.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,KRAS,0.3783711207732766,0.0139593951842738,0.0934129534297107,0.5029359489573021,319.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PTEN,0.8348695569856999,0.2636063927380775,0.1742749726522986,0.3875276592809216,308.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,KRAS,0.0277093565799624,0.2710160790939154,0.4587449033589194,0.8949303401551357,322.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,BRCA1,0.2016707469587988,0.9626337178541164,0.8370127098165555,0.7504733815874098,307.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,BRCA1,0.6694787904298928,0.5199835100990313,0.8479404370862277,0.6338023168150306,296.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,KRAS,0.1705948396634093,0.3598459038087309,0.2780062550681924,0.7370490584351576,331.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,BRCA1,0.6387200967961699,0.788392866220956,0.9353271780863156,0.6783271393533781,302.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,non-targeting,0.6024032494812415,0.7682148677976878,0.3665418782476456,0.3292578032024733,306.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,non-targeting,0.6004313478380554,0.952498202209774,0.2892641464633819,0.2438817496915705,310.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,BRCA1,0.1725940783648929,0.8134151984828948,0.131676263969562,0.19069236603333,323.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,TP53,0.5858083199883029,0.605559341927008,0.9219459729579608,0.2398963948642271,318.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,KRAS,0.9347054827868496,0.0579113767652278,0.6267097708629426,0.8104606872705202,322.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,non-targeting,0.2958022214921525,0.8737282601194571,0.3822250983041726,0.2196919806257828,319.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PTEN,0.5577686735671392,0.9872546679418291,0.852941447957417,0.7815122798268385,312.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,BRCA1,0.4409274470858821,0.8949545554571137,0.3742012109518432,0.3253945087950032,324.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,KRAS,0.6287994265733201,0.659689642083225,0.4830797092958425,0.262082541575296,325.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,MYC,0.4802592887238436,0.274732977768978,0.0343476477963752,0.3470126153234197,317.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,TP53,0.7440870722234196,0.098603395231559,0.6316110024710949,0.8732637502560757,309.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,BRCA1,0.112676665132995,0.8367184645309477,0.5816743125630399,0.4491726116852911,311.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,KRAS,0.789998355422902,0.2736378670474864,0.3514137578182026,0.2230824897807293,310.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,TP53,0.0045475185510026,0.4256985874833952,0.5384686455752419,0.4438842467244448,317.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,non-targeting,0.566731013544913,0.8586313661596466,0.7917101780825843,0.6788774734210549,317.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,BRCA1,0.7787214175233225,0.7639193211189007,0.8714147898911127,0.7062618402252343,309.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,MYC,0.2010639376687155,0.3679298906603613,0.0265447236450145,0.077881542488827,317.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,MYC,0.8542678426954227,0.7117509967715747,0.8623165913204819,0.4541246812782646,335.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,MYC,0.9359154319265888,0.6881777526574653,0.2061877787007491,0.5043091964556056,299.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,MYC,0.5082603398518895,0.5237396979251818,0.9532347975319448,0.9643498973068214,317.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,TP53,0.2885937623392522,0.0348885651103609,0.9876368577640354,0.3588690026638448,321.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,KRAS,0.105593930564008,0.7876144184440432,0.4256352245246882,0.2788756207251958,322.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,MYC,0.7291882592006403,0.1026445484649049,0.966761120489928,0.0249851758082702,291.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,KRAS,0.330284477203701,0.0998940280306737,0.9266579157784128,0.7225477930996288,328.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,MYC,0.5766544313967613,0.624187961643005,0.0344590601276455,0.3154318232774182,317.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,TP53,0.9327345589708858,0.580409473516363,0.7596921034101812,0.4832906269684197,294.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PTEN,0.953491151991608,0.1476603445160078,0.4588723636279928,0.0101604879988189,313.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,TP53,0.1844661034886007,0.4319443827168272,0.7287399002435202,0.0425612542652216,317.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,KRAS,0.965962968252862,0.0693437776000011,0.7590747601078449,0.4538684163184092,326.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,BRCA1,0.2243603894368239,0.4362653198375898,0.0282207804670265,0.5519366174775038,317.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,non-targeting,0.2718318792509006,0.7319452322143802,0.0493974281983757,0.3761228432265562,310.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,non-targeting,0.108137170145346,0.7319713335580041,0.5824211030214366,0.3698075596020358,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,TP53,0.3850876102190977,0.3280516430671696,0.6711976343559384,0.6698906755917206,300.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,TP53,0.0029977884723061,0.3962422808774005,0.6131243527626529,0.7842641624870921,317.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,BRCA1,0.4963927330480365,0.6982995222159007,0.3823332302449164,0.040819291874636,326.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,BRCA1,0.6525854380806038,0.010157123698171,0.7852352539676279,0.373368005577154,292.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,TP53,0.2386668477712138,0.1624746849311786,0.7385951853251266,0.9316922414008392,325.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PTEN,0.6763637686283357,0.3704748326842386,0.9781010600326344,0.8317343037535863,317.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,BRCA1,0.4484490764250503,0.5280426166588347,0.7272366512836871,0.9278043250759784,322.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,TP53,0.9015464574745038,0.2831505718186042,0.712742190125111,0.2662451384194094,303.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,TP53,0.7073500063391938,0.4293362156092167,0.925120883160632,0.4704340570331777,333.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,TP53,0.1087670811521318,0.2265821526847569,0.3948726840678466,0.0697660541664392,317.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,non-targeting,0.7882959735618394,0.2683218242179783,0.5140070802523566,0.9392919367294024,322.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,KRAS,0.5285761770313442,0.1084252525612816,0.3201401674850964,0.015362652091306,311.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,MYC,0.4270753737749921,0.4327568869565161,0.4736979263011438,0.4338381575221208,305.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,TP53,0.8672827242954265,0.8047003634505109,0.4191904675956042,0.2373589519044882,323.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,TP53,0.3965418457055121,0.3796125448194422,0.6748184599935548,0.643617562591973,297.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,MYC,0.9179726430584324,0.2637021151088432,0.3602276955625377,0.1085524347122668,296.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,KRAS,0.0973868441642583,0.4987252875791363,0.0513493086331969,0.6226240372596468,297.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,BRCA1,0.8074972010545367,0.4677066492548027,0.9814661542140308,0.0693269537489905,338.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,MYC,0.6128567149524007,0.1108540145242877,0.7689661073908,0.3953685694785573,332.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PTEN,0.7789228331674228,0.7741075120658812,0.1659730281735449,0.9101497470204428,345.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,MYC,0.8173494236854637,0.5290370368808426,0.4219344092979635,0.6459390318983932,331.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PTEN,0.741745718054133,0.9625116057463284,0.5802842796350696,0.6337256010549646,308.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,non-targeting,0.2698385874277077,0.7840780878874886,0.4545952532020981,0.0207662388674091,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,TP53,0.2539158424925016,0.3075204893742279,0.4347164347603378,0.1100523412497911,313.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,BRCA1,0.8683531126285687,0.5516770718675238,0.519231289539932,0.5736004626746217,299.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
