,perturbation,E2F_target_genes,DNA_damage_response,MAPK_pathway,PI3K_AKT_pathway,n_genes,KO_MYC,KO_TP53,HIGH_CDKN1A,KO_BRCA1,KO_KRAS,KO_PTEN,_scvi_batch,_scvi_labels,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,score_E2F_targets,score_p53_targets,score_DNA_damage,score_MAPK_ERK,score_PI3K_AKT
24,non-targeting,0.1782520977052762,0.3612484404804664,0.4886222382086832,0.1970025915404016,314.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38522840429235394,0.38443018871804924,-0.2246807239673756,-0.24307800658205725,-0.3377224104745047
25,KRAS,0.6233863488938489,0.0803383480470347,0.3585162605982094,0.2928189453263379,297.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018151187896728427,0.19946304818858285,-0.49423465728759775,-0.12944898402437266,0.48804961613246367
26,TP53,0.0747991878757132,0.0941122522506062,0.8636475791390928,0.0631446696140463,322.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1888207047073931,0.044514349232549266,-0.0821504098397714,-0.4613821191990629,-0.4603057725088937
27,TP53,0.2156565879209272,0.4286367081915347,0.5368606235078377,0.3371248613311728,310.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.32647702958848734,0.5443533026653788,0.43335977483678745,0.2764034879968522,-0.18404421125139514
28,BRCA1,0.6856696682740785,0.0221726599756797,0.4633608998494208,0.1346100627444199,279.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2566288065027307,-0.09129009246826181,-0.39978495703803163,0.15229967807201628,0.30813835688999713
29,non-targeting,0.5909223331351608,0.8172542458020289,0.9814277513832294,0.9810325201512358,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39564203332971637,0.14674158510954483,0.47035879912199774,-0.37436126546656845,0.06989934103829509
30,MYC,0.4299566588449631,0.2599765472976465,0.6186133865548709,0.4058785455134126,316.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43382785231978804,-0.23754808177118725,0.3796507376211662,-0.41531327836056975,-0.7111787523542131
31,TP53,0.0931987527692899,0.6597652319994697,0.8036907900999191,0.0715780387513581,312.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8761502795749241,0.24922731648320728,-0.1278073028281883,-1.1818470691112761,0.3299264907836914
32,BRCA1,0.5549762803429762,0.2438775218278707,0.9332030563387548,0.4649602398369178,333.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11015870836046004,-0.012664359548817616,0.31065434349907783,0.1298534799129405,0.02636340005057214
33,non-targeting,0.4580349234557965,0.9668725937801516,0.471436416284192,0.9672489469835224,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.001815478006998772,0.012068026998768744,-0.007246480164704527,-0.4126892901481467,-0.15003416878836506
34,BRCA1,0.3338284557315796,0.1723280273246799,0.5938205141517986,0.2562275669741364,326.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7851960853294089,-0.15727267472640327,-0.8198184119330512,-0.08627374121483333,-0.08349362782069614
35,non-targeting,0.5765434614922791,0.7698983394903864,0.2354719650316661,0.2665568063019653,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.18560829162597647,-0.10450082447217857,-0.18170541480735491,0.008804834649917881,0.2466186523437499
36,MYC,0.995266722648686,0.0506855884731163,0.3424860302191409,0.8532719038817238,311.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.63699402279324,-0.206252554188604,0.13779895923755792,-0.021005914566364803,0.7274266651698522
37,KRAS,0.7752403344552433,0.0359189284594064,0.1630658674172563,0.9137512655619664,326.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6203548360753943,0.4109506026558254,-0.2116446883590133,-0.05106997997202778,0.21801201956612726
38,TP53,0.0822546083279328,0.187348164264575,0.116826261556149,0.565805540288958,328.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1201188581961175,0.561023123367973,-0.29306090319598166,-0.3214129691428327,0.034123447963169795
39,non-targeting,0.0020227421281379,0.7522777499743364,0.8108306065627837,0.0216609466298328,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5409210911503546,0.0025154362554136167,-0.585231879905418,-0.12574006953137973,-0.5782140868050711
40,MYC,0.917879959510188,0.9903603250371772,0.1686078216317711,0.0031294857395599,332.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8408252751385723,0.10137352321458915,-0.07944638994004993,0.02725492842653976,0.4734198706490653
41,TP53,0.6736566298520417,0.5357463250876828,0.0054608257519973,0.7712992461022299,329.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2848339363380714,0.08889806996221128,0.05617848855477803,0.3575018618969208,-0.5083902222769601
42,non-targeting,0.4035279477410495,0.5811482268733316,0.2530099974480997,0.2066088213401952,289.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012351685983163385,-0.029742713596509818,-0.5211519841794614,0.10484709232411471,0.001226506914411285
43,PTEN,0.1805192776813408,0.1436172466721434,0.5049640385199101,0.1136082671079528,320.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6818370395236544,0.015021755384362345,0.19856730567084413,0.455071915971472,-0.6692985807146346
44,PTEN,0.3388721258182198,0.8423105581988212,0.7180450706414192,0.8652638956942172,331.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22356355455186638,0.008431318531865628,-0.04257040377016419,0.28972247509246185,0.5590090342930385
45,MYC,0.8880502502250521,0.3468587327000828,0.996943281430826,0.033402314743532,323.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4937969384370027,0.31034559166949727,-0.3534962300901059,-0.5632277184344354,0.7410900388445172
46,MYC,0.132559610029942,0.2398074768080098,0.4950987712298781,0.7126433943304666,309.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13151778468379272,-0.01808018891707719,0.7542168158072011,-0.19964682802240907,0.5250452314104352
47,KRAS,0.0839579423534999,0.8782289903534167,0.1983934812229886,0.5122834414971651,312.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5622599707709417,0.5327481725941534,0.5484904677779585,-0.2593596904835802,-0.10102656228201745
48,TP53,0.2561074747083985,0.7558536228197698,0.332981587727037,0.1117011465765674,311.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1211125232555248,-0.18499559319537617,-0.1741403897603353,-0.14905015864270799,0.0676109586443221
49,non-targeting,0.8048757478013289,0.6437202534503861,0.8718863527493625,0.748708297089351,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0703492376539443,-0.3836139388706372,0.3593259811401368,0.049880287495065234,-1.007370867047991
50,TP53,0.9347329871246328,0.0473948973221269,0.0252360131941506,0.8510300372007343,314.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006021181742350556,-0.36486048905745805,0.16342759308991606,0.6565806774382894,0.2755340576171874
51,PTEN,0.7844351457716069,0.1831922461764954,0.7118403265035205,0.7321823513486199,325.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.143548153064869,-0.172269928973654,0.08545644548204212,0.34009622208615564,-0.010901042393275606
52,BRCA1,0.0084827883656184,0.7743485831155591,0.0983104735728784,0.4489169813100691,318.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06222071824250408,0.20306826052458393,0.17670610922354246,-0.013406615561627477,-0.039170265197753906
53,non-targeting,0.1010170883444484,0.3952284742070991,0.1729368084396965,0.4656629400452242,326.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3116156966597945,0.16604792553445558,-0.13273938496907545,0.40043115818754127,-0.6541648183550155
54,PTEN,0.7745548832384854,0.2015779214030284,0.0470608411127893,0.9006015960913497,318.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6218117078145344,-0.11450723150502085,-0.0916720884817619,0.24381807611343698,-0.07169656753540044
55,non-targeting,0.47345712030639,0.8757878722175786,0.4671690135744654,0.2143470616084644,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26996591356065536,0.392572419539742,-0.14990567101372632,-1.1673759085066773,-0.3856231416974749
56,MYC,0.5893321754883384,0.281564843596082,0.881042841667819,0.9513568821842509,322.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.045282702975802946,0.19517459869384757,0.20354890470151554,-0.14737140574353802,0.38849171229771184
57,MYC,0.0815535824192656,0.9796751961206428,0.1495019455965281,0.8568310403405659,316.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1914921266061287,0.06126473882923955,0.04014211584020555,0.11114492416381827,-0.3755492755344936
58,KRAS,0.3783711207732766,0.0139593951842738,0.0934129534297107,0.5029359489573021,319.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2650948135941118,-0.03174488233483341,-0.07206633532488782,0.34573858139362734,-0.3488601139613561
59,PTEN,0.8348695569856999,0.2636063927380775,0.1742749726522986,0.3875276592809216,308.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13132356714319293,-0.16007491816645092,0.16759028964572487,0.23740206373498784,0.09807518550327843
60,KRAS,0.0277093565799624,0.2710160790939154,0.4587449033589194,0.8949303401551357,322.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.027332683845802785,0.12849017433498222,0.11023978480586294,0.4098540204636596,-0.17975293568202422
61,BRCA1,0.2016707469587988,0.9626337178541164,0.8370127098165555,0.7504733815874098,307.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1354980892605253,-0.07358827176301364,-0.08320358417652285,-0.29689871605406415,-0.18798225947788771
62,BRCA1,0.6694787904298928,0.5199835100990313,0.8479404370862277,0.6338023168150306,296.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20016771952311196,0.7063088624373726,0.06536788940429683,0.5477150937344164,-0.19590293339320586
63,KRAS,0.1705948396634093,0.3598459038087309,0.2780062550681924,0.7370490584351576,331.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15129482834427432,0.38748610123344096,0.16060413078025548,0.4054147558009371,-0.254709597996303
64,BRCA1,0.6387200967961699,0.788392866220956,0.9353271780863156,0.6783271393533781,302.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09528855217827692,0.23162292812181562,-0.6655004112808793,0.7416989996078167,0.6327669961111886
65,non-targeting,0.6024032494812415,0.7682148677976878,0.3665418782476456,0.3292578032024733,306.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15008606380886502,-0.18407911217730977,0.08467467979148591,-0.45197562765567856,-0.2098931448800223
66,non-targeting,0.6004313478380554,0.952498202209774,0.2892641464633819,0.2438817496915705,310.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5684315646136249,0.25377429464588985,-0.16533032170048467,0.43889522146671367,-0.2629366874694825
67,BRCA1,0.1725940783648929,0.8134151984828948,0.131676263969562,0.19069236603333,323.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5905936276471172,0.16086517831553593,-0.0994911758987993,0.5190939639477021,-0.19833666937691818
68,TP53,0.5858083199883029,0.605559341927008,0.9219459729579608,0.2398963948642271,318.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1333591178611473,-0.4272627540256666,0.35207811991373705,0.08400066862715061,-0.16060920442853654
69,KRAS,0.9347054827868496,0.0579113767652278,0.6267097708629426,0.8104606872705202,322.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6865683449639217,0.05593503039816161,-0.5330288957666467,-0.09420473220500547,-0.6102045331682477
70,non-targeting,0.2958022214921525,0.8737282601194571,0.3822250983041726,0.2196919806257828,319.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05941421367503974,0.1707389707150666,0.1746280316953306,0.5162714288589803,-0.9828391211373466
71,PTEN,0.5577686735671392,0.9872546679418291,0.852941447957417,0.7815122798268385,312.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16323580565275964,-0.29597310190615445,-0.37859423602068865,0.2987485073982401,0.2559319359915597
72,BRCA1,0.4409274470858821,0.8949545554571137,0.3742012109518432,0.3253945087950032,324.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16611905627780477,-0.0006872260052224188,0.36502800694218385,0.03200496105437578,0.17180767059326163
73,KRAS,0.6287994265733201,0.659689642083225,0.4830797092958425,0.262082541575296,325.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1938841572514287,0.7581089600272801,-0.18486663677074278,0.3157279400115316,-0.24605443137032634
74,MYC,0.4802592887238436,0.274732977768978,0.0343476477963752,0.3470126153234197,317.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23364535437689882,-0.09367868174677318,0.18375971052381734,-0.09389836331631263,-0.16381338664463585
75,TP53,0.7440870722234196,0.098603395231559,0.6316110024710949,0.8732637502560757,309.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7351090289928295,-0.1765122372171153,0.29388911635787407,-0.11787935013466688,-0.21579110281808034
76,BRCA1,0.112676665132995,0.8367184645309477,0.5816743125630399,0.4491726116852911,311.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20420518804479526,0.33319754393204404,0.2432838439941407,0.3318061382212536,-0.1698869977678572
77,KRAS,0.789998355422902,0.2736378670474864,0.3514137578182026,0.2230824897807293,310.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16467678635208682,-0.2873549585757049,0.019093930279767024,0.15800587471495287,-0.26873446873256146
78,TP53,0.0045475185510026,0.4256985874833952,0.5384686455752419,0.4438842467244448,317.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46709974077012806,-0.44456737352454145,0.38030476040310335,0.4022817814603765,-0.31931789943150113
79,non-targeting,0.566731013544913,0.8586313661596466,0.7917101780825843,0.6788774734210549,317.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.329183649133753,0.4154269342837127,-0.15536455931486892,0.10052904981247912,0.3263004847935267
80,BRCA1,0.7787214175233225,0.7639193211189007,0.8714147898911127,0.7062618402252343,309.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36348075866699214,0.5970731486444887,-0.09021291379575391,-0.02027333442201007,-0.5701080186026437
81,MYC,0.2010639376687155,0.3679298906603613,0.0265447236450145,0.077881542488827,317.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197469139099121,-0.08195223600968071,0.17410659790039062,0.18825843892198946,0.049620192391531814
82,MYC,0.8542678426954227,0.7117509967715747,0.8623165913204819,0.4541246812782646,335.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12400856724491827,-0.23296852111816402,-0.3315671885455098,0.3227390979198701,0.28188686370849614
83,MYC,0.9359154319265888,0.6881777526574653,0.2061877787007491,0.5043091964556056,299.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032138061523437456,-0.33548878379490055,0.182891556068703,-0.264222723372439,0.25847099849155963
84,MYC,0.5082603398518895,0.5237396979251818,0.9532347975319448,0.9643498973068214,317.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2069700947514288,0.0977408948151961,0.1251156771624531,0.19154466263791337,0.6978909356253487
